School Name,Department Name,URL,Duration_Study_list
Erasmus Universitiet Rotterdam,Algemene Cultuurwetenschappen,https://www.eur.nl/en/bachelor/algemene-cultuurwetenschappen,3 years
Erasmus Universitiet Rotterdam,Bestuurskunde,https://www.eur.nl/en/bachelor/bestuurskunde,3 years
Erasmus Universitiet Rotterdam,Bedrijfskunde,https://www.eur.nl/bachelor/bedrijfskunde,3 years
Erasmus Universitiet Rotterdam,Criminologie,https://www.eur.nl/bachelor/criminologie,3 years
Erasmus Universitiet Rotterdam,Econometrie en Operationele Research,https://www.eur.nl/en/bachelor/econometrie-en-operationele-research,3 years
Erasmus Universitiet Rotterdam,Economie en Bedrijfseconomie,https://www.eur.nl/en/bachelor/economie-en-bedrijfseconomie,3 years
Erasmus Universitiet Rotterdam,Filosofie,https://www.eur.nl/bachelor/filosofie,3 years
Erasmus Universitiet Rotterdam,Fiscaal Recht,https://www.eur.nl/bachelor/fiscaal-recht,3 years
Erasmus Universitiet Rotterdam,Fiscale Economie,https://www.eur.nl/en/bachelor/fiscale-economie,3 years
Erasmus Universitiet Rotterdam,Geneeskunde,https://www.eur.nl/en/bachelor/geneeskunde,3 years
Erasmus Universitiet Rotterdam,"Gezondheidswetenschappen, Beleid & Management Gezondheidszorg, BMG",https://www.eur.nl/bachelor/gezondheidswetenschappen-beleid-management-gezondheidszorg-bmg,3 years
Erasmus Universitiet Rotterdam,International Bachelor Communication and Media,https://www.eur.nl/en/bachelor/international-bachelor-communication-and-media,3 years
Erasmus Universitiet Rotterdam,International Bachelor Economics and Business Economics,https://www.eur.nl/en/bachelor/international-bachelor-economics-and-business-economics,3 years
Erasmus Universitiet Rotterdam,Bachelor International Business Administration,https://www.eur.nl/en/bachelor/bachelor-international-business-administration,3 years
Erasmus Universitiet Rotterdam,Dubbelstudie Economie en Recht,https://www.eur.nl/en/bachelor/dubbelstudie-economie-en-recht,6 years
Erasmus Universitiet Rotterdam,Rechtsgeleerdheid,https://www.eur.nl/bachelor/rechtsgeleerdheid,3 years
Erasmus Universitiet Rotterdam,Psychologie,https://www.eur.nl/en/bachelor/psychologie,3 years
Erasmus Universitiet Rotterdam,Sociologie,https://www.eur.nl/en/bachelor/sociologie,3 years
Erasmus Universitiet Rotterdam,Ondernemingsrecht,https://www.eur.nl/master/ondernemingsrecht,1 year
Erasmus Universitiet Rotterdam,Master in Management,https://www.eur.nl/en/master/master-management,12 months
Erasmus Universitiet Rotterdam,Accounting & Financial Management,https://www.eur.nl/en/master/accounting-financial-management,1 year
Erasmus Universitiet Rotterdam,Criminologie,https://www.eur.nl/master/criminologie,1 year
Erasmus Universitiet Rotterdam,Econometrics and Management Science,https://www.eur.nl/en/master/econometrics-and-management-science,1 year
Erasmus Universitiet Rotterdam,Econometrics,https://www.eur.nl/en/master/econometrics,1 year
Erasmus Universitiet Rotterdam,Analytics and Operations Research In Logistics,https://www.eur.nl/en/master/analytics-and-operations-research-logistics,1 year
Erasmus Universitiet Rotterdam,Business Analytics and Quantitative Marketing,https://www.eur.nl/en/master/business-analytics-and-quantitative-marketing,1 year
Erasmus Universitiet Rotterdam,Economics and Business,https://www.eur.nl/en/master/economics-and-business,1 year
Erasmus Universitiet Rotterdam,Financial Economics,https://www.eur.nl/en/master/financial-economics,1 year
Erasmus Universitiet Rotterdam,Marketing,https://www.eur.nl/en/master/marketing,1 year
Erasmus Universitiet Rotterdam,"Urban, Port and Transport Economics",https://www.eur.nl/en/master/urban-port-and-transport-economics,1 year
Erasmus Universitiet Rotterdam,Behavioural Economics,https://www.eur.nl/en/master/behavioural-economics,1 year
Erasmus Universitiet Rotterdam,Economics of Markets and Organisations,https://www.eur.nl/en/master/economics-markets-and-organisations,1 year
Erasmus Universitiet Rotterdam,Strategy Economics,https://www.eur.nl/en/master/strategy-economics,1 year
Erasmus Universitiet Rotterdam,International Economics,https://www.eur.nl/en/master/international-economics,1 year
Erasmus Universitiet Rotterdam,Policy Economics,https://www.eur.nl/en/master/policy-economics,1 year
Erasmus Universitiet Rotterdam,Financieel recht,https://www.eur.nl/master/financieel-recht,1 year
Erasmus Universitiet Rotterdam,Fiscaal Recht (Directe Belastingen),https://www.eur.nl/master/fiscaal-recht-directe-belastingen,1 year
Erasmus Universitiet Rotterdam,Fiscale Economie (Directe Belastingen),https://www.eur.nl/en/master/fiscale-economie-directe-belastingen,1 year
Erasmus Universitiet Rotterdam,"Health Economics, Policy & Law",https://www.eur.nl/en/master/health-economics-policy-law,1 year
Erasmus Universitiet Rotterdam,Health Economics,https://www.eur.nl/en/master/health-economics,1 year
Erasmus Universitiet Rotterdam,International Management / CEMS,https://www.eur.nl/en/master/international-management-cems,18 months
Erasmus Universitiet Rotterdam,Arts and Culture Studies,https://www.eur.nl/en/master/arts-and-culture-studies,1 year
Erasmus Universitiet Rotterdam,Cultural Economics and Entrepreneurship,https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship,1 year
Erasmus Universitiet Rotterdam,Geschiedenis van Nederland in een Mondiale Context,https://www.eur.nl/master/geschiedenis-van-nederland-een-mondiale-context,1 year
Erasmus Universitiet Rotterdam,Mediastudies,https://www.eur.nl/master/mediastudies,1 year
Erasmus Universitiet Rotterdam,Media en Cultuur,https://www.eur.nl/master/media-en-cultuur,1 year
Erasmus Universitiet Rotterdam,Work & Organisational Psychology,https://www.eur.nl/en/master/work-organisational-psychology,1 year
Erasmus Universitiet Rotterdam,Brain and Cognition,https://www.eur.nl/en/master/brain-and-cognition,1 year
Erasmus Universitiet Rotterdam,Clinical Psychology,https://www.eur.nl/en/master/clinical-psychology,1 year
Erasmus Universitiet Rotterdam,Klinische Kinder- en Jeugdpsychologie,https://www.eur.nl/en/master/klinische-kinder-en-jeugdpsychologie,1 year
Erasmus Universitiet Rotterdam,Educational Psychology: Learning and Performance,https://www.eur.nl/en/master/educational-psychology-learning-and-performance,1 year
Erasmus Universitiet Rotterdam,Legal Theory,https://www.eur.nl/en/master/legal-theory,1 year
Erasmus Universitiet Rotterdam,Privaatrecht | Commercieel Vermogensrecht,https://www.eur.nl/master/privaatrecht-commercieel-vermogensrecht,1 year
Erasmus Universitiet Rotterdam,Publiekrecht voor Bedrijf en Burger,https://www.eur.nl/master/publiekrecht-voor-bedrijf-en-burger,1 year
