School Name,Department Name,URL,Degree,Description
Newcastle University,Accounting and Finance PhD,https://search.ncl.ac.uk/s/redirect?collection=neu-web-courses&url=https%3A%2F%2Fwww.ncl.ac.uk%2Fpostgraduate%2Fdegrees%2F8240f-67%2F&auth=S2CRFEtjsvWMswbggF2NSw&profile=_default&rank=222&query=%7CstencilsCourseType%3Apostgraduate,Finance and Accounting,Our Accounting and Finance PhD programme aims to develop rigorous scholars who can advance both academic knowledge and business practice.
Newcastle University,"Accounting, Finance and Financial Analysis MSc",https://search.ncl.ac.uk/s/redirect?collection=neu-web-courses&url=https%3A%2F%2Fwww.ncl.ac.uk%2Fpostgraduate%2Fdegrees%2F4050f%2F&auth=bN4AJoTv7GAPzIg%2BS5GbPQ&profile=_default&rank=203&query=%7CstencilsCourseType%3Apostgraduate,Finance and Accounting,Our MSc develops an in-depth understanding of financial reporting and management in the context of the international financial environment.
Newcastle University,"Accounting, Finance and Strategic Investment MSc",https://search.ncl.ac.uk/s/redirect?collection=neu-web-courses&url=https%3A%2F%2Fwww.ncl.ac.uk%2Fpostgraduate%2Fdegrees%2F5156f%2F&auth=jJ4gsdd9W7YFaykiU6M1Fw&profile=_default&rank=206&query=%7CstencilsCourseType%3Apostgraduate,Finance and Accounting,"At Newcastle University, this MSc prepares you for a career in management accounting, financial planning or corporate investment."
Newcastle University,Advanced Architectural Design MSc ,https://search.ncl.ac.uk/s/redirect?collection=neu-web-courses&url=https%3A%2F%2Fwww.ncl.ac.uk%2Fpostgraduate%2Fdegrees%2F5383f%2F&auth=qNIX7%2FoYtFCkKdQsFqfPpg&profile=_default&rank=272&query=%7CstencilsCourseType%3Apostgraduate,Architecture and Planning and Landscape,The Advanced Architectural Design MSc provides the resources for international designers to gain further skills in architectural design.
Newcastle University,Advanced Computer Science MSc,https://search.ncl.ac.uk/s/redirect?collection=neu-web-courses&url=https%3A%2F%2Fwww.ncl.ac.uk%2Fpostgraduate%2Fdegrees%2F5178f%2F&auth=aYXz%2Ftr7cHc4SgHFIAoyLg&profile=_default&rank=236&query=%7CstencilsCourseType%3Apostgraduate,Computer Science,Newcastle University's Advanced Computer Science Master's provides training in a range of emerging computer science topics.
Newcastle University,Advanced Data Science with Health MSc,https://search.ncl.ac.uk/s/redirect?collection=neu-web-courses&url=https%3A%2F%2Fwww.ncl.ac.uk%2Fpostgraduate%2Fdegrees%2F5521f%2F&auth=FY1cAh11ibwaS7Y7zWTGtQ&profile=_default&rank=296&query=%7CstencilsCourseType%3Apostgraduate,"Statistics, Computer Science, Public Health and Epidemiology and Health Services Research, Data Science",Use data science to improve healthcare and patient outcomes with our Advanced Data Science with Health MSc degree.
Newcastle University,Advanced Data Science with Statistics MSc,https://search.ncl.ac.uk/s/redirect?collection=neu-web-courses&url=https%3A%2F%2Fwww.ncl.ac.uk%2Fpostgraduate%2Fdegrees%2F5520f%2F&auth=%2FUZ9%2BV%2B9Sc64spgEIrEA7g&profile=_default&rank=282&query=%7CstencilsCourseType%3Apostgraduate,"Statistics, Computer Science, Data Science",Master advanced statistical techniques and methods in data science with our Advanced Data Science with Statistics MSc degree. 
Newcastle University,Advanced Landscape Planning and Management MSc,https://search.ncl.ac.uk/s/redirect?collection=neu-web-courses&url=https%3A%2F%2Fwww.ncl.ac.uk%2Fpostgraduate%2Fdegrees%2F4151f%2F&auth=34INzkT1gOZBP9qlorDypA&profile=_default&rank=263&query=%7CstencilsCourseType%3Apostgraduate,Architecture and Planning and Landscape,Our Master’s will enable you to develop the knowledge and skills you need to work in organisations and authorities responsible for planning and managing landscapes.
Newcastle University,"Ageing and Health, MRes",https://search.ncl.ac.uk/s/redirect?collection=neu-web-courses&url=https%3A%2F%2Fwww.ncl.ac.uk%2Fpostgraduate%2Fdegrees%2F4814f%2F&auth=JDhITggyULucl8O0R5wmxA&profile=_default&rank=244&query=%7CstencilsCourseType%3Apostgraduate,Ageing,Our Ageing and Health MRes is for graduates with a BSc in life or other sciences. It is also suitable for intercalating and qualified MBBS or BDS students.
Newcastle University,"Ageing MPhil, PhD, MD",https://search.ncl.ac.uk/s/redirect?collection=neu-web-courses&url=https%3A%2F%2Fwww.ncl.ac.uk%2Fpostgraduate%2Fdegrees%2F8300f-92%2F&auth=uqTX%2Fb2cwPiZkL51taK1dg&profile=_default&rank=201&query=%7CstencilsCourseType%3Apostgraduate,Ageing,"Our Ageing MPhil, PhD and MD explore a diverse range of topics, including biology of ageing, age-related diseases, ageing health in society, and many others."
Newcastle University,Agricultural and Environmental Science MSc,https://search.ncl.ac.uk/s/redirect?collection=neu-web-courses&url=https%3A%2F%2Fwww.ncl.ac.uk%2Fpostgraduate%2Fdegrees%2F5021f%2F&auth=lB4bpC5x%2BzU%2BC%2Bcdbhr9dQ&profile=_default&rank=161&query=%7CstencilsCourseType%3Apostgraduate,Agriculture,"Develop a career in sustainable farming systems, environmental management and rural development with our Master's in Agriculture and Environmental Science."
Newcastle University,"Agriculture MPhil, PhD",https://search.ncl.ac.uk/s/redirect?collection=neu-web-courses&url=https%3A%2F%2Fwww.ncl.ac.uk%2Fpostgraduate%2Fdegrees%2F8010f-70%2F&auth=1CGqb1oNf63BF6R8TC%2BQKw&profile=_default&rank=258&query=%7CstencilsCourseType%3Apostgraduate,Agriculture,"Join us for your MPhil or PhD in Agriculture. We have research areas in crop science, soil science, ecological agriculture, and agricultural water management."
