School Name,Department Name,URL
Universiteit Leiden,Course Analysis of Repeated Measurements,https://www.boerhaavenascholing.nl/medische-nascholing/2024/analysis-of-repeated-measurements-2024
Universiteit Leiden,"Health, Ageing and Society (Msc)",https://www.universiteitleiden.nl/en/education/study-programmes/master/vitality-and-ageing
Universiteit Leiden,Population Health Management MSc,https://www.universiteitleiden.nl/en/education/study-programmes/master/population-health-management
Universiteit Leiden,Population Health Management Summer School,https://www.lumc.nl/onderwijs/opleidingen--cursussen/phm-summer-school
Universiteit Leiden,Basic methods and reasoning in Biostatistics,https://www.boerhaavenascholing.nl/medische-nascholing/2025/basic-methods-and-reasoning-in-biostatistics-ii-2025
Universiteit Leiden,Executive Master Cyber Security,https://www.universiteitleiden.nl/en/education/study-programmes/master/cyber-security
Universiteit Leiden,Language Courses Arabic,https://www.universiteitleiden.nl/en/language-centre/language-courses/arabic
Universiteit Leiden,Language Courses Chinese,https://www.universiteitleiden.nl/en/language-centre/language-courses/chinese
Universiteit Leiden,Language Courses Dutch,https://www.universiteitleiden.nl/en/language-centre/language-courses/dutch#
Universiteit Leiden,Language Courses English,https://www.universiteitleiden.nl/en/language-centre/language-courses/english#
Universiteit Leiden,Language Courses French,https://www.universiteitleiden.nl/en/language-centre/language-courses/french
Universiteit Leiden,Language Courses German,https://www.universiteitleiden.nl/en/language-centre/language-courses/german
Universiteit Leiden,Language Courses Italian,https://www.universiteitleiden.nl/en/language-centre/language-courses/italian
Universiteit Leiden,Language Courses Japanese,https://www.universiteitleiden.nl/en/language-centre/language-courses/japanese
Universiteit Leiden,Language Courses Korean,https://www.universiteitleiden.nl/en/language-centre/language-courses/korean
Universiteit Leiden,Language Courses Persian,https://www.universiteitleiden.nl/en/language-centre/language-courses/persian
Universiteit Leiden,Language Courses Portuguese,https://www.universiteitleiden.nl/en/language-centre/language-courses/portuguese
Universiteit Leiden,Language Courses Russian,https://www.universiteitleiden.nl/en/language-centre/language-courses/russian
Universiteit Leiden,Language Courses Spanish,https://www.universiteitleiden.nl/en/language-centre/language-courses/spanish
Universiteit Leiden,Language Courses Swedish,https://www.universiteitleiden.nl/en/language-centre/language-courses/swedish
Universiteit Leiden,Online Course Anatomy of the Abdomen and the Pelvis: A Journey from Basic to Clinic,https://www.coursera.org/learn/abdomen-anatomy
Universiteit Leiden,"Online Course Clinical Kidney, Pancreas and Islet Transplantation",https://www.coursera.org/learn/clinical-kidney-transplantation
Universiteit Leiden,Online Course Clinical Research Regulation in the Netherlands,https://www.pauljanssenfuturelab.eu/courses/dutch-regulations-for-clinical-research
Universiteit Leiden,Online Course Cosmopolitain Medieval Arabic World,https://www.coursera.org/learn/medieval-arabia
Universiteit Leiden,Online Course De-Mystifying Mindfulness,https://www.coursera.org/learn/mindfulness
Universiteit Leiden,Online Course EU Policy &amp; Implementation: Making Europe Work!,https://www.coursera.org/learn/eu-making-europe-work
Universiteit Leiden,Online Course Evolution Today,https://www.coursera.org/learn/evolution-today
Universiteit Leiden,Online Course International Humanitarian Law,https://www.coursera.org/learn/international-humanitarian-law
Universiteit Leiden,Online Course International Law in Action: A Guide to the International Courts and Tribunals in The Hague,https://www.coursera.org/learn/international-law-in-action
Universiteit Leiden,Online Course International Law in Action: Investigating and Prosecuting International Crime,https://www.coursera.org/learn/international-law-in-action-2
Universiteit Leiden,Online Course International Law in Action: The Arbitration of International Disputes,https://www.coursera.org/learn/arbitration-international-disputes
Universiteit Leiden,Online Course Introduction to Comparative Indo-European Linguistics,https://www.coursera.org/learn/comparative-indo-european-linguistics
Universiteit Leiden,Online Course Risk in Modern Society,https://www.coursera.org/learn/risk-in-modern-society
Universiteit Leiden,Online Course Safety &amp; Security Challenges in a Globalized World,https://www.coursera.org/learn/security-safety-globalized-world
Universiteit Leiden,Online Course Terrorism &amp; Counterterrorism: Comparing Theory &amp; Practice,https://www.coursera.org/learn/terrorism
Universiteit Leiden,Online Course The Great Sustainability Transition,https://www.coursera.org/learn/sustainability-global-challenges-and-local-actions
Universiteit Leiden,Online Course The Miracles of Human Language: Introduction into Linguistics,https://www.coursera.org/learn/human-language
Universiteit Leiden,Online Course The Rooseveltian Century,https://www.coursera.org/learn/roosevelt
Universiteit Leiden,Transfusion Medicine and Cellular and Tissue Therapies (MSc),https://www.universiteitleiden.nl/en/education/study-programmes/master/transfusion-medicine-and-cellular-and-tissue-therapies
