School Name,Department Name,URL
Universiteit van Amsterdam,Accountancy (Accountancy and Control),https://www.uva.nl/en/shared-content/subsites/amsterdam-business-school/en/masters/accountancy-and-control-accountancy/accountancy-and-control-accountancy.html?origin=5BOaRAofTjCccATraJp2XA
Universiteit van Amsterdam,Accountancy and Control,https://www.uva.nl/en/shared-content/subsites/amsterdam-business-school/en/masters/accountancy-and-control/accountancy-and-control.html?origin=5BOaRAofTjCccATraJp2XA
Universiteit van Amsterdam,Actuarial Science (Actuarial Science and Mathematical Finance),https://www.uva.nl/en/shared-content/subsites/amsterdam-school-of-economics/en/masters/actuarial-science-and-mathematical-finance-actuarial-science/actuarial-science-and-mathematical-finance-actuarial-science.html?origin=5BOaRAofTjCccATraJp2XA
Universiteit van Amsterdam,Actuarial Science and Mathematical Finance,https://www.uva.nl/en/shared-content/subsites/amsterdam-school-of-economics/en/masters/actuarial-science-and-mathematical-finance/actuarial-science-and-mathematical-finance.html?origin=5BOaRAofTjCccATraJp2XA
Universiteit van Amsterdam,N/A,N/A
Universiteit van Amsterdam,Advanced Professional Programme Conservation and Restoration of Cultural Heritage,https://www.uva.nl/en/programmes/advanced-masters/conservation-and-restoration/advanced-professional-programme.html?origin=5BOaRAofTjCccATraJp2XA
Universiteit van Amsterdam,American Studies (History),https://www.uva.nl/en/programmes/masters/american-studies-history/american-studies.html?origin=5BOaRAofTjCccATraJp2XA
Universiteit van Amsterdam,Archaeology,https://www.uva.nl/en/programmes/masters/archaeology/archaeology.html?origin=5BOaRAofTjCccATraJp2XA
Universiteit van Amsterdam,Archaeology and Heritage (Archaeology),https://www.uva.nl/en/programmes/research-masters/archaeology-and-heritage/archaeology-and-heritage.html?origin=5BOaRAofTjCccATraJp2XA
Universiteit van Amsterdam,Archival and Information Studies (Media Studies),https://www.uva.nl/en/programmes/dual-masters/archival-and-information-studies-heritage-studies/archival-studies-heritage-studies.html?origin=5BOaRAofTjCccATraJp2XA
Universiteit van Amsterdam,Art and Performance Research Studies,https://www.uva.nl/en/programmes/research-masters/art-and-performance-research-studies/art-and-performance-research-studies.html?origin=5BOaRAofTjCccATraJp2XA
Universiteit van Amsterdam,Artificial Intelligence,https://www.uva.nl/en/programmes/masters/artificial-intelligence/artificial-intelligence.html?origin=5BOaRAofTjCccATraJp2XA
