School Name,Department Name,URL
University of Leeds,Accounting and Finance BSc,https://courses.leeds.ac.uk/f834/accounting-and-finance-bsc
University of Leeds,Accounting and Finance,https://courses.leeds.ac.uk/f834/accounting-and-finance-bsc
University of Leeds,Accounting and Finance MSc,https://courses.leeds.ac.uk/f921/accounting-and-finance-msc
University of Leeds,Accounting and Finance,https://courses.leeds.ac.uk/f921/accounting-and-finance-msc
University of Leeds,Actuarial Mathematics BSc,https://courses.leeds.ac.uk/f702/actuarial-mathematics-bsc
University of Leeds,Actuarial Mathematics,https://courses.leeds.ac.uk/f702/actuarial-mathematics-bsc
University of Leeds,Advanced Chemical Engineering MSc,https://courses.leeds.ac.uk/i239/advanced-chemical-engineering-msc
University of Leeds,Advanced Chemical Engineering,https://courses.leeds.ac.uk/i239/advanced-chemical-engineering-msc
University of Leeds,Advanced Clinical Practice (Apprenticeship) MSc,https://courses.leeds.ac.uk/ap11/advanced-clinical-practice-apprenticeship-msc
University of Leeds,Advanced Clinical Practice (Apprenticeship),https://courses.leeds.ac.uk/ap11/advanced-clinical-practice-apprenticeship-msc
University of Leeds,Advanced Clinical Practice MSc,https://courses.leeds.ac.uk/h811/advanced-clinical-practice-msc
University of Leeds,Advanced Clinical Practice,https://courses.leeds.ac.uk/h811/advanced-clinical-practice-msc
University of Leeds,Advanced Computer Science (Artificial Intelligence) MSc,https://courses.leeds.ac.uk/i537/advanced-computer-science-artificial-intelligence-msc
University of Leeds,Advanced Computer Science (Artificial Intelligence),https://courses.leeds.ac.uk/i537/advanced-computer-science-artificial-intelligence-msc
University of Leeds,Advanced Computer Science (Cloud Computing) MSc,https://courses.leeds.ac.uk/g313/advanced-computer-science-cloud-computing-msc
University of Leeds,Advanced Computer Science (Cloud Computing),https://courses.leeds.ac.uk/g313/advanced-computer-science-cloud-computing-msc
University of Leeds,Advanced Computer Science (Data Analytics) MSc,https://courses.leeds.ac.uk/g314/advanced-computer-science-data-analytics-msc
University of Leeds,Advanced Computer Science (Data Analytics),https://courses.leeds.ac.uk/g314/advanced-computer-science-data-analytics-msc
University of Leeds,Advanced Computer Science MSc,https://courses.leeds.ac.uk/f753/advanced-computer-science-msc
University of Leeds,Advanced Computer Science,https://courses.leeds.ac.uk/f753/advanced-computer-science-msc
University of Leeds,Advanced Mechanical Engineering MSc (Eng),https://courses.leeds.ac.uk/f360/advanced-mechanical-engineering-msc-eng-
University of Leeds,Advanced Mechanical Engineering,https://courses.leeds.ac.uk/f360/advanced-mechanical-engineering-msc-eng-
University of Leeds,"Advanced Psychology MPsyc, BSc",https://courses.leeds.ac.uk/g492/advanced-psychology-mpsyc-bsc
University of Leeds,"Advanced Psychology MPsyc, BSc",https://courses.leeds.ac.uk/g492/www.bps.org.uk/accreditation
University of Leeds,Advanced Psychology,https://courses.leeds.ac.uk/g492/advanced-psychology-mpsyc-bsc
University of Leeds,Advertising and Design MA,https://courses.leeds.ac.uk/f296/advertising-and-design-ma
University of Leeds,Advertising and Design,https://courses.leeds.ac.uk/f296/advertising-and-design-ma
University of Leeds,Advertising and Marketing,https://courses.leeds.ac.uk/7002/advertising-and-marketing-ma
University of Leeds,Aeronautical and Aerospace Engineering (Industrial) BEng,https://courses.leeds.ac.uk/g662/aeronautical-and-aerospace-engineering-industrial-beng
University of Leeds,"Aeronautical and Aerospace Engineering (Industrial) MEng, BEng",https://courses.leeds.ac.uk/g285/aeronautical-and-aerospace-engineering-industrial-meng-beng
University of Leeds,Aeronautical and Aerospace Engineering BEng,https://courses.leeds.ac.uk/a225/aeronautical-and-aerospace-engineering-beng
University of Leeds,"Aeronautical and Aerospace Engineering MEng, BEng",https://courses.leeds.ac.uk/f414/aeronautical-and-aerospace-engineering-meng-beng
University of Leeds,Aeronautical and Aerospace Engineering,https://courses.leeds.ac.uk/f414/aeronautical-and-aerospace-engineering-meng-beng
University of Leeds,Aerospace Engineering MSc,https://courses.leeds.ac.uk/g600/aerospace-engineering-msc
University of Leeds,Aerospace Engineering,https://courses.leeds.ac.uk/g600/aerospace-engineering-msc
University of Leeds,Air Quality Solutions with Data Science MSc,https://courses.leeds.ac.uk/j836/air-quality-solutions-with-data-science-msc
University of Leeds,Ancient History and English BA,https://courses.leeds.ac.uk/g675/ancient-history-and-english-ba
University of Leeds,Ancient History and English,https://courses.leeds.ac.uk/g675/ancient-history-and-english-ba
