School Name,Department Name,URL
University of Leicester,AI for Business Intelligence MSc,https://le.ac.uk/courses/ai-for-business-intelligence-msc
University of Leicester,Accounting BSc,https://le.ac.uk/courses/accounting-bsc
University of Leicester,Accounting and Finance BSc,https://le.ac.uk/courses/accounting-and-finance-bsc
University of Leicester,Accounting and Finance MSc,https://le.ac.uk/courses/accounting-and-finance-msc
University of Leicester,"Actuarial Science with Data Analytics MSc, PGDip",https://le.ac.uk/courses/actuarial-science-with-data-analytics-msc
University of Leicester,"Advanced Computer Science MSc, PGDip, PGCert",https://le.ac.uk/courses/advanced-computer-science-msc
University of Leicester,Advanced Electrical and Electronic Engineering MSc,https://le.ac.uk/courses/advanced-electrical-and-electronic-engineering-msc
University of Leicester,Advanced Electrical and Electronic Engineering with Management MSc,https://le.ac.uk/courses/advanced-electrical-and-electronic-engineering-with-management-msc
University of Leicester,Advanced Mechanical Engineering MSc,https://le.ac.uk/courses/advanced-mechanical-engineering-msc
University of Leicester,Advanced Mechanical Engineering with Management MSc,https://le.ac.uk/courses/advanced-mechanical-engineering-with-management-msc
University of Leicester,"Advanced Software Engineering MSc, PGDip",https://le.ac.uk/courses/advanced-software-engineering-msc
University of Leicester,Aerospace Engineering BEng,https://le.ac.uk/courses/aerospace-engineering-beng
University of Leicester,Aerospace Engineering MEng,https://le.ac.uk/courses/aerospace-engineering-meng
University of Leicester,Aerospace Engineering MSc,https://le.ac.uk/courses/aerospace-engineering-msc
University of Leicester,Ancient History BA,https://le.ac.uk/courses/ancient-history-ba
University of Leicester,Ancient History and Archaeology BA,https://le.ac.uk/courses/ancient-history-and-archaeology-ba
University of Leicester,"Ancient History and Classical Archaeology BA, DipHE, CertHE, by distance learning",https://le.ac.uk/courses/ancient-history-and-classical-archaeology-ba-dl
University of Leicester,"Ancient History and Classical Archaeology MA, PGDip, PGCert, by distance learning",https://le.ac.uk/courses/ancient-history-and-classical-archaeology-ma-dl
University of Leicester,Ancient History and History BA,https://le.ac.uk/courses/ancient-history-and-history-ba
University of Leicester,"Applied Health Research MRes, PGCert",https://le.ac.uk/courses/applied-health-research-mres
University of Leicester,Applied Linguistics MOOC,https://le.ac.uk/courses/mooc-applied-linguistics
University of Leicester,"Applied Linguistics and TESOL MA, PGDip, PGCert",https://le.ac.uk/courses/applied-linguistics-tesol-ma
University of Leicester,"Applied Linguistics and TESOL MA, PGDip, PGCert, by distance learning",https://le.ac.uk/courses/applied-linguistics-and-tesol-ma-dl
University of Leicester,Applied Psychology BSc,https://le.ac.uk/courses/applied-psychology-bsc
University of Leicester,Archaeology BA,https://le.ac.uk/courses/archaeology-ba
University of Leicester,"Archaeology BA, DipHE, CertHE, by distance learning",https://le.ac.uk/courses/archaeology-ba-dl
University of Leicester,Archaeology BSc,https://le.ac.uk/courses/archaeology-bsc
University of Leicester,"Archaeology and Heritage MA, PGDip, PGCert, by distance learning",https://le.ac.uk/courses/archaeology-and-heritage-ma-dl
University of Leicester,"Art Museum and Gallery Studies MA, PGDip",https://le.ac.uk/courses/art-museum-and-gallery-studies-ma
University of Leicester,Bioinformatics MSc,https://le.ac.uk/courses/bioinformatics-msc
University of Leicester,Bioinformatics and Cancer Biology MSc,https://le.ac.uk/courses/bioinformatics-and-cancer-biology-msc
University of Leicester,Bioinformatics and Molecular Genetics MSc,https://le.ac.uk/courses/bioinformatics-and-molecular-genetics-msc
University of Leicester,Biological Sciences (Biochemistry) BSc,https://le.ac.uk/courses/biological-sciences-biochemistry-bsc
University of Leicester,Biological Sciences (Biochemistry) MBiolSci,https://le.ac.uk/courses/biological-sciences-biochemistry-mbiolsci
University of Leicester,Biological Sciences (Genetics) BSc,https://le.ac.uk/courses/biological-sciences-genetics-bsc
University of Leicester,Biological Sciences (Genetics) MBiolSci,https://le.ac.uk/courses/biological-sciences-genetics-mbiolsci
University of Leicester,Biological Sciences (Microbiology) BSc,https://le.ac.uk/courses/biological-sciences-microbiology-bsc
University of Leicester,Biological Sciences (Microbiology) MBiolSci,https://le.ac.uk/courses/biological-sciences-microbiology-mbiolsci
University of Leicester,Biological Sciences (Neuroscience) BSc,https://le.ac.uk/courses/biological-sciences-neuroscience-bsc
