School Name,Department Name,URL
Aston University,Accounting and Finance BSc,https://www.aston.ac.uk/study/courses/accounting-and-finance-bsc
Aston University,Accounting and Finance Manager Degree Apprenticeship BSc,https://www.aston.ac.uk/study/courses/accounting-and-finance-manager-degree-apprenticeship-bsc
Aston University,"Addiction and Mental Health MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/addiction-and-mental-health-msc/september-2025
Aston University,Additive Manufacturing Technologies -,https://www.aston.ac.uk/study/courses/additive-manufacturing-technologies/may-2023
Aston University,"Adult Audiology: Assessment and Management Standalone module -
Professional courses/CPD, Online courses",https://www.aston.ac.uk/study/courses/adult-audiology-assessment-and-management-standalone-module/september-2025
Aston University,"Adult Rehabilitation Standalone module -
Professional courses/CPD, Online courses",https://www.aston.ac.uk/study/courses/adult-rehabilitation-standalone-module/january-2025-0
Aston University,"Advanced Clinical Practice in Ocular Health MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/advanced-clinical-practice-ocular-health-msc/september-2025
Aston University,"Advanced Dental Implantology MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/advanced-dental-implantology-msc/september-2025
Aston University,"Advanced Hearing Therapy Practice MSc -
Postgraduate MA/MSc courses, Online courses",https://www.aston.ac.uk/study/courses/advanced-hearing-therapy-practice-msc/september-2025
Aston University,"Ageing Eye Management Standalone module -
Professional courses/CPD, Online courses",https://www.aston.ac.uk/study/courses/ageing-eye-management-standalone-module/october-2025
Aston University,Applied Psychology,https://www.aston.ac.uk/study/courses/applied-psychology-singapore-msc/2025
Aston University,April Year Abroad -,https://www.aston.ac.uk/study/courses/april-year-abroad-professional-certificate/april-2025
Aston University,"Artificial Intelligence MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/artificial-intelligence-msc/september-2025
Aston University,"Artificial Intelligence MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/artificial-intelligence-msc/april-2025
Aston University,Artificial Intelligence MSc,https://www.aston.ac.uk/node/8228
Aston University,Artificial Intelligence and Robotics BSc,https://www.aston.ac.uk/study/courses/ai-and-robotics-bsc
Aston University,"Artificial Intelligence for Health MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/artificial-intelligence-for-health-msc/september-2025
Aston University,"Aston Executive Leadership Degree Apprenticeship PgDip -
Degree apprenticeships, MBA",https://www.aston.ac.uk/study/courses/aston-executive-leadership-degree-apprenticeship-pgdip/september-2025
Aston University,Biochemistry BSc,https://www.aston.ac.uk/study/courses/biochemistry-bsc
Aston University,Biological Sciences BSc,https://www.aston.ac.uk/study/courses/biological-sciences-bsc
Aston University,Biomedical Engineering BEng,https://www.aston.ac.uk/study/courses/biomedical-engineering-beng/september-2025
Aston University,Biomedical Engineering MEng,https://www.aston.ac.uk/study/courses/biomedical-engineering-meng
Aston University,Biomedical Science BSc,https://www.aston.ac.uk/study/courses/biomedical-science-bsc
Aston University,"Biosciences MRes -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/biosciences-mres
Aston University,"Biotechnology MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/biotechnology-msc
Aston University,Business Analytics MSc,https://www.aston.ac.uk/node/6961
Aston University,Business Analytics BSc,https://www.aston.ac.uk/study/courses/business-analytics-bsc
Aston University,"Business Analytics MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/business-analytics-msc/september-2025
Aston University,"Business Analytics MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/business-analytics-msc
Aston University,Business Analytics MSc,https://www.aston.ac.uk/node/8199
Aston University,Business and International Relations BSc,https://www.aston.ac.uk/study/courses/business-and-international-relations-bsc
Aston University,Business and Management BSc,https://www.aston.ac.uk/study/courses/business-and-management-bsc
Aston University,Business and Management BSc,https://www.aston.ac.uk/node/7401
Aston University,"Business and Management MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/business-and-management-msc
Aston University,Business and Management MSc,https://www.aston.ac.uk/node/8243
Aston University,Business and Politics BSc,https://www.aston.ac.uk/study/courses/business-and-politics-bsc/september-2025
Aston University,Business and Sociology BSc,https://www.aston.ac.uk/study/courses/business-and-sociology-bsc
Aston University,Business and Supply Chain Management BSc,https://www.aston.ac.uk/study/courses/business-and-supply-chain-management-bsc
Aston University,Business Computing and IT BSc,https://www.aston.ac.uk/study/courses/business-computing-and-it-bsc
Aston University,Business Enterprise Development BSc,https://www.aston.ac.uk/study/courses/business-enterprise-development-bsc/september-2025
Aston University,"Cell Biology Standalone module -
Professional courses/CPD, Online courses",https://www.aston.ac.uk/study/courses/cell-biology-standalone-module/september-2025
Aston University,"Cellular Pathology Standalone module -
Professional courses/CPD, Online courses",https://www.aston.ac.uk/study/courses/cellular-pathology-standalone-module/september-2025
Aston University,Chartered Manager Degree Apprenticeship BSc,https://www.aston.ac.uk/study/courses/chartered-manager-degree-apprenticeship-bsc/september-2025
