School Name,Department Name,URL,Degree,Description
Bath Spa University,Accounting and Finance,https://www.bathspa.ac.uk/courses/pg-accounting-and-finance/,Level: Postgraduate,Kick-start your career with an MSc in Accounting and Finance at BSU
Bath Spa University,Acting,https://www.bathspa.ac.uk/courses/ug-acting/,Level: Undergraduate,"Prepare for a portfolio career. Train as an actor who can work across a range of media including theatre, screen, radio and voiceover."
Bath Spa University,Architecture,https://www.bathspa.ac.uk/courses/ug-architecture/,Level: Undergraduate,Be inspired by your surroundings – study an Architecture degree at our RIBA Award-winning Locksbrook Campus building.
Bath Spa University,Arts Management,https://www.bathspa.ac.uk/courses/pg-arts-management/,Level: Postgraduate,"Gain professional experience in arts and cultural management, and develop your understanding of cultural policy and the creative economy."
Bath Spa University,Assessment Only Route to QTS,https://www.bathspa.ac.uk/courses/qts-assessment-only/,Level: PGCE / Teaching,Become fully qualified to teach in just 12 weeks while working in your current school.
Bath Spa University,BCS Foundation Certificate in Agile,https://www.bathspa.ac.uk/courses/sc-agile-foundation-certificate/,Level: Short Course,"Master Agile principles, methodologies and their practical application in your workplace in this four-day in-person course."
Bath Spa University,Biology,https://www.bathspa.ac.uk/courses/ug-biology/,Level: Undergraduate,A contemporary skills based course producing highly employable professional biologists.
Bath Spa University,Biology and Education,https://www.bathspa.ac.uk/courses/ug-biology-and-education/,Level: Undergraduate,"Pursue your passion for Biology while developing the knowledge, skills and experience you need to become an educator across diverse settings."
Bath Spa University,Biomedical Science,https://www.bathspa.ac.uk/courses/ug-biomedical-science/,Level: Undergraduate,"Our practical, lab-based Biomedical Science degree prepares you for a career where you can make a difference."
Bath Spa University,Business and Management,https://www.bathspa.ac.uk/courses/ug-business-and-management/,Level: Undergraduate,An innovative Business and Management course offering a choice of specialist pathways.
Bath Spa University,Business and Management,https://www.bathspa.ac.uk/courses/pg-business-and-management/,Level: Postgraduate,"Develop your career in business and management with a focus on creativity, innovation and entrepreneurship."
