School Name,Department Name,URL
Northeastern University,Accounting (ACCT),https://catalog.northeastern.edu//course-descriptions/acct/
Northeastern University,Accounting - CPS (ACC),https://catalog.northeastern.edu//course-descriptions/acc/
Northeastern University,Advanced Manufacturing Systems - CPS (AVM),https://catalog.northeastern.edu//course-descriptions/avm/
Northeastern University,African American Studies (AFAM),https://catalog.northeastern.edu//course-descriptions/afam/
Northeastern University,Africana Studies (AFCS),https://catalog.northeastern.edu//course-descriptions/afcs/
Northeastern University,African Studies (AFRS),https://catalog.northeastern.edu//course-descriptions/afrs/
Northeastern University,American Sign Language (AMSL),https://catalog.northeastern.edu//course-descriptions/amsl/
Northeastern University,Analytics - CPS (ALY),https://catalog.northeastern.edu//course-descriptions/aly/
Northeastern University,Anthropology (ANTH),https://catalog.northeastern.edu//course-descriptions/anth/
Northeastern University,Anthropology - CPS (ANT),https://catalog.northeastern.edu//course-descriptions/ant/
Northeastern University,Applied Logistics - CPS (APL),https://catalog.northeastern.edu//course-descriptions/apl/
Northeastern University,Arabic (ARAB),https://catalog.northeastern.edu//course-descriptions/arab/
Northeastern University,Architecture (ARCH),https://catalog.northeastern.edu//course-descriptions/arch/
Northeastern University,Army ROTC (ARMY),https://catalog.northeastern.edu//course-descriptions/army/
Northeastern University,Art - CPS (ART),https://catalog.northeastern.edu//course-descriptions/art/
Northeastern University,Art - Design (ARTG),https://catalog.northeastern.edu//course-descriptions/artg/
Northeastern University,Art - Fundamentals (ARTF),https://catalog.northeastern.edu//course-descriptions/artf/
Northeastern University,Art - General (ARTE),https://catalog.northeastern.edu//course-descriptions/arte/
Northeastern University,Art - History (ARTH),https://catalog.northeastern.edu//course-descriptions/arth/
Northeastern University,Art - Media Arts (ARTD),https://catalog.northeastern.edu//course-descriptions/artd/
Northeastern University,Arts Administration and Cultural Entrepreneurship (AACE),https://catalog.northeastern.edu//course-descriptions/aace/
Northeastern University,Art - Studio (ARTS),https://catalog.northeastern.edu//course-descriptions/arts/
Northeastern University,Asian Studies (ASNS),https://catalog.northeastern.edu//course-descriptions/asns/
Northeastern University,Behavioral Neuroscience (BNSC),https://catalog.northeastern.edu//course-descriptions/bnsc/
Northeastern University,Biochemistry (BIOC),https://catalog.northeastern.edu//course-descriptions/bioc/
Northeastern University,Bioengineering (BIOE),https://catalog.northeastern.edu//course-descriptions/bioe/
Northeastern University,Bioinformatics (BINF),https://catalog.northeastern.edu//course-descriptions/binf/
Northeastern University,Biology (BIOL),https://catalog.northeastern.edu//course-descriptions/biol/
Northeastern University,Biology - CPS (BIO),https://catalog.northeastern.edu//course-descriptions/bio/
Northeastern University,Biotechnology (BIOT),https://catalog.northeastern.edu//course-descriptions/biot/
Northeastern University,Biotechnology - CPS (BTC),https://catalog.northeastern.edu//course-descriptions/btc/
Northeastern University,Business Administration (BUSN),https://catalog.northeastern.edu//course-descriptions/busn/
Northeastern University,Cardiopulmonary and Exercise Science (EXSC),https://catalog.northeastern.edu//course-descriptions/exsc/
Northeastern University,Chemical Engineering (CHME),https://catalog.northeastern.edu//course-descriptions/chme/
Northeastern University,Chemistry and Chemical Biology (CHEM),https://catalog.northeastern.edu//course-descriptions/chem/
Northeastern University,Chemistry - CPS (CHM),https://catalog.northeastern.edu//course-descriptions/chm/
Northeastern University,Chinese (CHNS),https://catalog.northeastern.edu//course-descriptions/chns/
Northeastern University,Civil and Environmental Engineering (CIVE),https://catalog.northeastern.edu//course-descriptions/cive/
Northeastern University,Commerce and Economic Development - CPS (CED),https://catalog.northeastern.edu//course-descriptions/ced/
Northeastern University,Communication Studies (COMM),https://catalog.northeastern.edu//course-descriptions/comm/
Northeastern University,Communication Studies - CPS (CMN),https://catalog.northeastern.edu//course-descriptions/cmn/
Northeastern University,Communication Studies - CPS Specialty (CMMN),https://catalog.northeastern.edu//course-descriptions/cmmn/
Northeastern University,Computer Engineering Technology - CPS (CET),https://catalog.northeastern.edu//course-descriptions/cet/
Northeastern University,Computer Science (CS),https://catalog.northeastern.edu//course-descriptions/cs/
Northeastern University,Computer Systems Engineering (CSYE),https://catalog.northeastern.edu//course-descriptions/csye/
Northeastern University,Construction Management - CPS (CMG),https://catalog.northeastern.edu//course-descriptions/cmg/
Northeastern University,Cooperative Education (COOP),https://catalog.northeastern.edu//course-descriptions/coop/
Northeastern University,Cooperative Education - CPS (COP),https://catalog.northeastern.edu//course-descriptions/cop/
Northeastern University,Cooperative/Experiential Education (EXED),https://catalog.northeastern.edu//course-descriptions/exed/
Northeastern University,"Co-op/Experiential Education in Arts, Media, and Design (EEAM)",https://catalog.northeastern.edu//course-descriptions/eeam/
Northeastern University,Co-op/Experiential Education in Business (EEBA),https://catalog.northeastern.edu//course-descriptions/eeba/
Northeastern University,Co-op/Experiential Education in Science (EESC),https://catalog.northeastern.edu//course-descriptions/eesc/
Northeastern University,Co-op/Experiential Education in Social Sciences and Humanities (EESH),https://catalog.northeastern.edu//course-descriptions/eesh/
