School Name,Department Name,URL,Degree
Oregon State University,Accountancy,https://catalog.oregonstate.edu/college-departments/business/accountancy-bs-hbs/,"Business, Ecampus, Corvallis"
Oregon State University,Agricultural and Food Business Management,https://agsci.oregonstate.edu/degree-fact-sheet/agricultural-food-business-management,"Agricultural Sciences, Corvallis"
Oregon State University,Agricultural Sciences,https://catalog.oregonstate.edu/college-departments/agricultural-sciences/agricultural-education-general-agriculture/agricultural-sciences-bs-hbs/#sampleplantext,"Agricultural Sciences, Ecampus, LaGrande, Corvallis"
Oregon State University,American Studies,https://osucascades.edu/american-studies/degree-requirements,"Liberal Arts, Bend"
Oregon State University,Animal Sciences,https://catalog.oregonstate.edu/college-departments/agricultural-sciences/animal-rangeland-sciences/animal-sciences-bs-hbs/#sampleplantext,"Agricultural Sciences, Corvallis"
Oregon State University,Anthropology,https://liberalarts.oregonstate.edu/anthropology/academic-programs/undergraduate-anthropology,"Liberal Arts, Ecampus, Corvallis"
Oregon State University,Applied Humanities,https://ecampus.oregonstate.edu/online-degrees/undergraduate/applied-humanities/curriculum.htm,"Liberal Arts, Online"
Oregon State University,Architectural Engineering,https://catalog.oregonstate.edu/college-departments/engineering/school-civil-construction-engineering/architectural-engineering-bs-hbs/#retext,"Engineering, Corvallis"
Oregon State University,Art,https://liberalarts.oregonstate.edu/svpda/art/academic-programs,"Liberal Arts, Corvallis, Bend"
Oregon State University,Arts Media and Technology,https://osucascades.edu/amt/degree-requirements,"Liberal Arts, Bend"
Oregon State University,Biochemistry and Biophysics,https://catalog.oregonstate.edu/college-departments/science/school-life-sciences/biochemistry-biophysics/biochemistry-biophysics-bs-hbs/#sampleplantext,"Science, Corvallis"
Oregon State University,Biochemistry and Molecular Biology,https://catalog.oregonstate.edu/college-departments/science/school-life-sciences/biochemistry-biophysics/biochemistry-molecular-biology-bs-hbs/,"Science, Corvallis, Bend"
Oregon State University,Bioengineering,https://catalog.oregonstate.edu/college-departments/engineering/school-chemical-biological-environmental-engineering/bioengineering-ba-bs-hba-hbs/,"Engineering, Corvallis"
Oregon State University,BioHealth Sciences,https://catalog.oregonstate.edu/college-departments/science/school-life-sciences/microbiology/biohealth-sciences-bs-hbs/#sampleplantext,"Science, Corvallis, Ecampus"
Oregon State University,Biological Data Sciences,https://catalog.oregonstate.edu/college-departments/agricultural-sciences/botany-plant-pathology/biological-data-sciences-bs-hbs/#sampleplantext,"Agricultural Sciences, Corvallis"
Oregon State University,Biology,https://catalog.oregonstate.edu/college-departments/science/school-life-sciences/integrative-biology/biology-bs-hbs/#sampleplantext,"Science, Corvallis, Bend"
Oregon State University,Bioresource Research,https://catalog.oregonstate.edu/college-departments/agricultural-sciences/bioresource-research-bs-hbs/#sampleplantext,"Agricultural Sciences, Corvallis"
Oregon State University,Botany,https://catalog.oregonstate.edu/college-departments/agricultural-sciences/botany-plant-pathology/botany-bs-hbs/,"Agricultural Sciences, Ecampus, Corvallis"
Oregon State University,Business Administration,https://catalog.oregonstate.edu/college-departments/business/business-administration-ba-bs-hba-hbs/#sampleplantext,"Business, Ecampus, Bend, Corvallis"
Oregon State University,Business Analytics,https://catalog.oregonstate.edu/college-departments/business/business-analytics-bs-hbs/#sampleplantext,"Business, Ecampus, Corvallis"
Oregon State University,Business Information Systems,https://catalog.oregonstate.edu/college-departments/business/business-information-systems-ba-bs-hba-hbs/#sampleplantext,"Business, Ecampus, Corvallis"
Oregon State University,Chemical Engineering,https://catalog.oregonstate.edu/college-departments/engineering/school-chemical-biological-environmental-engineering/chemical-engineering-ba-bs-hba-hbs/,"Engineering, Corvallis"
Oregon State University,Chemistry,https://catalog.oregonstate.edu/college-departments/science/chemistry/chemistry-ba-bs-hba-hbs/#sampleplantext,"Science, Corvallis"
Oregon State University,Civil Engineering,https://oregonstate.app.box.com/s/vdbeimugd0gcc8tcg3fnka74v3fzpwuv,"Engineering, Corvallis"
Oregon State University,Climate Science,https://catalog.oregonstate.edu/college-departments/engineering/school-electrical-engineering-computer-science/computer-science-ba-bs-hba-hbs/,"Earth, Ocean, and Atmospheric Sciences, Corvallis"
Oregon State University,Computer Science,https://catalog.oregonstate.edu/college-departments/engineering/school-civil-construction-engineering/construction-engineering-management-ba-bs-hba-hbs/,"Engineering, Ecampus, Corvallis, Bend"
Oregon State University,Construction Engineering Management,https://ecampus.oregonstate.edu/online-degrees/undergraduate/contemporary-music-industry/curriculum.htm,"Engineering, Corvallis, Ecampus"
Oregon State University,Contemporary Music Industry,https://catalog.oregonstate.edu/college-departments/liberal-arts/school-writing-literature-film/creative-writing-ba-hba/#sampleplantext,"Liberal Arts, Online"
Oregon State University,Creative Writing,https://catalog.oregonstate.edu/college-departments/agricultural-sciences/crop-soil-science/crop-soil-science-bs-hbs/#sampleplantext,"Liberal Arts, Ecampus, Corvallis"
Oregon State University,Crop and Soil Science,https://catalog.oregonstate.edu/college-departments/business/design-innovation-management-bs-hbs/#sampleplantext,"Agricultural Sciences, Ecampus, Corvallis"
Oregon State University,Design and Innovation Management,https://liberalarts.oregonstate.edu/soc/nmc/academic-programs,"Business, Corvallis"
Oregon State University,Digital Communication Arts,https://bee.oregonstate.edu/sites/agscid7/files/ecoe_bubble_chart_2017-2018.pdf,"Liberal Arts, Ecampus, Corvallis"
Oregon State University,Earth Sciences,https://catalog.oregonstate.edu/college-departments/liberal-arts/school-public-policy/economics-ba-bs-hba-hbs/#sampleplantext,"Earth, Ocean, and Atmospheric Sciences, Corvallis"
Oregon State University,Ecological Engineering,https://education.oregonstate.edu/bs-teaching-coursework,"Engineering, Corvallis"
Oregon State University,Economics,https://catalog.oregonstate.edu/college-departments/engineering/school-electrical-engineering-computer-science/electrical-computer-engineering-bs-hbs/#sampleplantext,"Liberal Arts, Ecampus, Bend, Corvallis"
Oregon State University,"Education, Elementary (Pre-Teaching)",https://osucascades.edu/energy-systems-engineering/degree-requirements#degreemap,"Education, Corvallis, Ecampus, Bend"
Oregon State University,"Education, Middle/High School (Pre-Education)",https://catalog.oregonstate.edu/college-departments/engineering/other-degrees-programs/engineering-science-bs-hbs/#sampleplantext,"Education, Corvallis"
Oregon State University,Electrical and Computer Engineering,https://catalog.oregonstate.edu/college-departments/liberal-arts/school-writing-literature-film/english-ba-hba/#sampleplantext,"Engineering, Corvallis"
Oregon State University,Energy Systems Engineering,https://catalog.oregonstate.edu/college-departments/agricultural-sciences/applied-economics/environmental-economics-policy-bs-hbs/#sampleplantext,"Engineering, Bend"
Oregon State University,Engineering Science,https://catalog.oregonstate.edu/college-departments/engineering/school-chemical-biological-environmental-engineering/environmental-engineering-ba-bs-hba-hbs/,"Engineering, Bend"
Oregon State University,English,https://catalog.oregonstate.edu/college-departments/earth-ocean-atmospheric-sciences/environmental-sciences-bs-hbs/,"Liberal Arts, Corvallis"
Oregon State University,Environmental Economics and Policy,https://catalog.oregonstate.edu/college-departments/liberal-arts/school-language-culture-society/ethnic-studies-ba-bs-hba-hbs/#sampleplantext,"Agricultural Sciences, Ecampus, Corvallis"
Oregon State University,Environmental Engineering,https://catalog.oregonstate.edu/college-departments/business/finance-ba-bs-hba-hbs/#sampleplantext,"Engineering, Corvallis"
Oregon State University,Environmental Sciences,https://catalog.oregonstate.edu/college-departments/agricultural-sciences/fisheries-wildlife-conservation-sciences/fisheries-wildlife-conservation-sciences-bs-hbs/#sampleplantext,"Earth, Ocean, and Atmospheric Sciences, Ecampus, Corvallis, Bend"
Oregon State University,Ethnic Studies,https://agsci.oregonstate.edu/degree-fact-sheet/food-science-sustainable-technologies,"Liberal Arts, Corvallis"
Oregon State University,Finance,https://catalog.oregonstate.edu/college-departments/liberal-arts/school-language-culture-society/french-ba-hba/#sampleplantext,"Business, Ecampus, Corvallis"
Oregon State University,Fisheries Wildlife and Conservation Sciences,https://ceoas.oregonstate.edu/four-year-sample-plans,"Agricultural Sciences, Ecampus, Corvallis"
Oregon State University,Food Science and Sustainability Technologies,https://oregonstate.app.box.com/s/x002vg6bwnef4z9ukhbrqycc23vb0lbs,"Agricultural Sciences, Corvallis"
Oregon State University,French,https://catalog.oregonstate.edu/college-departments/liberal-arts/school-language-culture-society/german-ba-bs-hba-hbs/#sampleplantext,"Liberal Arts, Ecampus, Corvallis"
Oregon State University,Geography and Geospatial Science,https://catalog.oregonstate.edu/college-departments/liberal-arts/school-visual-performing-design-arts/graphic-design-bfa-hbfa/#sampleplantext,"Earth, Ocean, and Atmospheric Sciences, Ecampus, Corvallis"
Oregon State University,Geology,https://catalog.oregonstate.edu/college-departments/agricultural-sciences/horticulture/horticulture-bs-hbs/#sampleplantext,"Earth, Ocean, and Atmospheric Sciences, Corvallis"
Oregon State University,German,https://osucascades.edu/hospitality-management/four-year-sample-plan,"Liberal Arts, Corvallis, Ecampus"
Oregon State University,Graphic Design,https://health.oregonstate.edu/advising/resources/degree-maps,"Liberal Arts, Corvallis"
Oregon State University,History,https://catalog.oregonstate.edu/college-departments/engineering/school-mechanical-industrial-manufacturing-engineering/industrial-engineering-bs-hbs/#sampleplantext,"Liberal Arts, Ecampus, Corvallis"
Oregon State University,Horticulture,https://business.oregonstate.edu/programs/undergraduate/innovation-management/required-courses,"Agricultural Sciences, Ecampus, Corvallis"
Oregon State University,Hospitality Management,https://health.oregonstate.edu/advising/resources/degree-maps,"Business, Ecampus, Bend"
Oregon State University,Human Development and Family Sciences,https://liberalarts.oregonstate.edu/advising/liberal-studies/liberal-studies-major,"Health, Ecampus, Corvallis, Bend"
Oregon State University,Industrial Engineering,https://business.oregonstate.edu/programs/undergraduate/organizational-leadership/four-year-plan,"Engineering, Corvallis"
Oregon State University,Innovation Management,https://catalog.oregonstate.edu/college-departments/engineering/school-mechanical-industrial-manufacturing-engineering/manufacturing-engineering-bs-hbs/#sampleplantext,"Business, Corvallis"
Oregon State University,International Studies,https://catalog.oregonstate.edu/college-departments/science/school-life-sciences/integrative-biology/biology-bs-hbs/marine-biology-ecology-option/,"Liberal Arts, Corvallis"
Oregon State University,Kinesiology,https://catalog.oregonstate.edu/college-departments/liberal-arts/other-degrees-programs/marine-studies-ba-bs-hba-hbs/,"Health, Ecampus, Bend, Corvallis"
Oregon State University,Liberal Studies,https://catalog.oregonstate.edu/college-departments/business/marketing-ba-bs-hba-hbs/#sampleplantext,"Liberal Arts, Ecampus, Bend, Corvallis"
Oregon State University,Management,https://catalog.oregonstate.edu/college-departments/science/mathematics/mathematics-bs-hbs/#sampleplantext,"Business, Corvallis, Ecampus"
Oregon State University,Manufacturing Engineering,https://catalog.oregonstate.edu/college-departments/engineering/school-mechanical-industrial-manufacturing-engineering/mechanical-engineering-bs-hbs/,"Engineering, Corvallis"
Oregon State University,Marine Biology,https://catalog.oregonstate.edu/college-departments/science/school-life-sciences/microbiology/microbiology-bs-hbs/#sampleplantext,"Science, Corvallis"
Oregon State University,Marine Studies,https://catalog.oregonstate.edu/college-departments/liberal-arts/school-visual-performing-design-arts/music-ba-bs-hba-hbs/,"Liberal Arts, Ecampus, Corvallis"
Oregon State University,Marketing,https://catalog.oregonstate.edu/college-departments/liberal-arts/school-visual-performing-design-arts/music-studies-bm-hbm/,"Business, Ecampus, Corvallis"
Oregon State University,Mathematics,https://www.forestry.oregonstate.edu/studentservices/majors-advising-guides,"Science, Corvallis"
Oregon State University,Mechanical Engineering,https://catalog.oregonstate.edu/college-departments/engineering/school-nuclear-science-engineering/nuclear-engineering-bs-hbs/#sampleplantext,"Engineering, Corvallis, Ecampus, Bend"
Oregon State University,Microbiology,https://health.oregonstate.edu/advising/resources/degree-maps,"Science, Corvallis"
Oregon State University,Music,https://oregonstate.app.box.com/s/yuqhg2h2pxx91qt2noegoznv42s91tt0,"Liberal Arts, Corvallis"
Oregon State University,Music Studies,https://catalog.oregonstate.edu/college-departments/engineering/other-degrees-programs/outdoor-products-bs-hbs/,"Liberal Arts, Corvallis"
Oregon State University,Natural Resources,https://catalog.oregonstate.edu/college-departments/science/physics/physics-ba-bs-hba-hbs/#sampleplantext,"Forestry, Corvallis, Bend, Ecampus"
Oregon State University,Nuclear Engineering,https://catalog.oregonstate.edu/college-departments/business/apparel-design-bs-hbs/#sampleplantext,"Engineering, Corvallis"
Oregon State University,Nutrition,https://catalog.oregonstate.edu/college-departments/forestry/forest-engineering-resources-management/forest-engineering-bs-hbs/,"Health, Corvallis"
Oregon State University,Oceanography,https://catalog.oregonstate.edu/college-departments/forestry/forest-engineering-resources-management/forest-engineering-civil-engineering-bs-hbs/,"Earth, Ocean, and Atmospheric Sciences, Corvallis"
Oregon State University,Outdoor Products,https://www.forestry.oregonstate.edu/studentservices/majors-advising-guides,"Engineering, Bend"
Oregon State University,Philosophy,https://catalog.oregonstate.edu/college-departments/business/interior-design-bs-hbs/#sampleplantext,"Liberal Arts, Ecampus, Corvallis"
Oregon State University,Physics,https://business.oregonstate.edu/programs/undergraduate/product-and-merchandising-management/four-year-plan,"Science, Corvallis"
Oregon State University,Political Science,https://liberalarts.oregonstate.edu/sites/liberalarts.oregonstate.edu/files/psychology_bs.pdf,"Liberal Arts, Ecampus, Bend, Corvallis"
Oregon State University,Pre-Apparel Design,https://health.oregonstate.edu/advising/resources/degree-maps,"Business, Corvallis"
Oregon State University,Pre-Forest Engineering,https://catalog.oregonstate.edu/college-departments/liberal-arts/school-public-policy/public-policy-bs-hbs/#sampleplantext,"Forestry, Corvallis"
Oregon State University,Pre-Forest-Civil Engineering,https://catalog.oregonstate.edu/college-departments/engineering/school-nuclear-science-engineering/radiation-health-physics-bs-hbs/#sampleplantext,"Forestry, Corvallis"
Oregon State University,Pre-Forestry,https://catalog.oregonstate.edu/college-departments/agricultural-sciences/animal-rangeland-sciences/rangeland-sciences-bs-hbs/#sampleplantext,"Forestry, Corvallis"
Oregon State University,Pre-Interior Design,https://catalog.oregonstate.edu/college-departments/liberal-arts/other-degrees-programs/social-science-ba-bs-hba-hbs/#sampleplantext,"Business, Corvallis"
Oregon State University,Pre-Med,https://liberalarts.oregonstate.edu/soc/speech/academic-programs,"College of Science, College of Health, College of Liberal Arts, Bend, Ecampus, Corvallis"
Oregon State University,Product and Merchandising Management,https://catalog.oregonstate.edu/college-departments/business/supply-chain-logistics-management-bs-hbs/,"Business, Corvallis"
Oregon State University,Psychology,https://liberalarts.oregonstate.edu/theatre/academic-programs/theatre-arts-undergraduate,"Liberal Arts, Corvallis, Ecampus, Bend"
Oregon State University,Public Health,https://catalog.oregonstate.edu/college-departments/forestry/forest-ecosystems-society/tourism-recreation-adventure-leadership-bs-hbs/#sampleplantext,"Health, Ecampus, Corvallis"
Oregon State University,Public Policy,https://catalog.oregonstate.edu/college-departments/liberal-arts/school-language-culture-society/women-gender-sexuality-studies-ba-bs-hba-hbs/#sampleplantext,"Liberal Arts, Ecampus, Corvallis"
Oregon State University,Radiation Health Physics,https://www.forestry.oregonstate.edu/studentservices/majors-advising-guides,"Engineering, Corvallis"
Oregon State University,Rangeland Sciences,https://catalog.oregonstate.edu/college-departments/science/school-life-sciences/integrative-biology/zoology-bs-hbs/,"Agricultural Sciences, Ecampus, LaGrande, Corvallis"
