School Name,Department Name,URL
UCLA,African American Studies (B.A.),https://newstudents.ucla.edu/studyarea/?id=40
UCLA,African and Middle Eastern Studies (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=49B
UCLA,American Indian Studies (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=030
UCLA,American Literature and Culture (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=761
UCLA,Ancient Near East and Egyptology (B.A.),https://newstudents.ucla.edu/studyarea/?id=41
UCLA,Anthropology (B.A.),https://newstudents.ucla.edu/studyarea/?id=42
UCLA,Anthropology (B.S.),https://newstudents.ucla.edu/studyarea/?id=43
UCLA,Arabic (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=081
UCLA,Art History (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=093
UCLA,Asian American Studies (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=100
UCLA,Asian Humanities (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=442
UCLA,Asian Languages and Linguistics (B.A.),https://newstudents.ucla.edu/studyarea/?id=408
UCLA,Asian Religions (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=443
UCLA,Asian Studies (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=241
UCLA,Astrophysics (B.S.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=101
UCLA,Atmospheric and Oceanic Sciences (B.S.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=589
UCLA,Atmospheric and Oceanic Sciences/Mathematics (B.S.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=54B
UCLA,Biochemistry (B.S.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=111
UCLA,Biology (B.S.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=123
UCLA,Biophysics (B.S.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=126
UCLA,Business Economics (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=144
UCLA,Central and East European Languages and Cultures (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=845
UCLA,Chemistry (B.S.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=153
UCLA,Chemistry/Materials Science (B.S.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=155
UCLA,Chicana and Chicano Studies (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=626
UCLA,Chinese (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=162
UCLA,Classical Civilization (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=169
UCLA,Climate Science (B.S.),https://newstudents.ucla.edu/studyarea/?id=414
UCLA,Cognitive Science (B.S.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=179
UCLA,Communication (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=181
UCLA,Comparative Literature (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=192
UCLA,Computational and Systems Biology (B.S.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=208
UCLA,Data Theory (B.S.),https://newstudents.ucla.edu/studyarea/?id=423
UCLA,Disability Studies (B.A.),https://newstudents.ucla.edu/studyarea/?id=459
