School Name,Department Name,URL
University of Essex,BA Acting,https://www.essex.ac.uk/courses/UG00008/1/BA-Acting
University of Essex,BA Acting,https://www.essex.ac.uk/courses/UG00008/1/BA-Acting
University of Essex,BA Acting (International),https://www.essex.ac.uk/courses/UG00008/2/BA-Acting
University of Essex,BA Acting and Community Engagement,https://www.essex.ac.uk/courses/UG00009/2/BA-Acting-and-Community-Engagement
University of Essex,BA Acting and Contemporary Theatre,https://www.essex.ac.uk/courses/UG00010/1/BA-Acting-and-Contemporary-Theatre
University of Essex,BA Acting and Fight Performance,https://www.essex.ac.uk/courses/UG00011/1/BA-Acting-and-Fight-Performance
University of Essex,BA Acting and Fight Performance,https://www.essex.ac.uk/courses/UG00011/1/BA-Acting-and-Fight-Performance
University of Essex,BA Acting and Physical Theatre,https://www.essex.ac.uk/courses/UG00337/1/BA-Acting-and-Physical-Theatre
University of Essex,BA American Studies (United States),https://www.essex.ac.uk/courses/UG00014/1/BA-American-Studies-United-States
University of Essex,BA American Studies (United States) (Including Foundation Year and Year Abroad),https://www.essex.ac.uk/courses/UG00014/2/BA-American-Studies-United-States
University of Essex,BA American Studies (United States) with Film,https://www.essex.ac.uk/courses/UG00015/1/BA-American-Studies-United-States-with-Film
University of Essex,BA American Studies (United States) with Film (Including Foundation Year and Year Abroad),https://www.essex.ac.uk/courses/UG00015/2/BA-American-Studies-United-States-with-Film
University of Essex,BA Art History,https://www.essex.ac.uk/courses/UG00021/1/BA-Art-History
University of Essex,"BA Art History 
                                            
                                                (Including Foundation Year)",https://www.essex.ac.uk/courses/UG00021/2/BA-Art-History
University of Essex,BA Art History and History,https://www.essex.ac.uk/courses/UG00022/1/BA-Art-History-and-History
University of Essex,"BA Art History and History 
                                            
                                                (Including Foundation Year)",https://www.essex.ac.uk/courses/UG00022/2/BA-Art-History-and-History
University of Essex,BA Art History and Modern Languages,https://www.essex.ac.uk/courses/UG00023/1/BA-Art-History-and-Modern-Languages
University of Essex,BA Art History and Modern Languages,https://www.essex.ac.uk/courses/UG00023/1/BA-Art-History-and-Modern-Languages
University of Essex,BA Art History and Modern Languages (Including Foundation Year and Year Abroad),https://www.essex.ac.uk/courses/UG00023/2/BA-Art-History-and-Modern-Languages
University of Essex,BA Art History with Modern Languages,https://www.essex.ac.uk/courses/UG00025/1/BA-Art-History-with-Modern-Languages
University of Essex,BA Art History with Modern Languages (Including Foundation Year and Year Abroad),https://www.essex.ac.uk/courses/UG00025/2/BA-Art-History-with-Modern-Languages
University of Essex,"BA Art History, Heritage and Museum Studies",https://www.essex.ac.uk/courses/UG01435/1/BA-Art-History-Heritage-and-Museum-Studies
University of Essex,"BA Art History, Visual Culture and Media Studies",https://www.essex.ac.uk/courses/UG01368/1/BA-Art-History-Visual-Culture-and-Media-Studies
University of Essex,BA Business Economics,https://www.essex.ac.uk/courses/UG01297/1/BA-Business-Economics
University of Essex,BA Business Management and Modern Languages,https://www.essex.ac.uk/courses/UG00046/1/BA-Business-Management-and-Modern-Languages
University of Essex,BA Business Management with a Modern Language,https://www.essex.ac.uk/courses/UG00047/1/BA-Business-Management-with-a-Modern-Language
University of Essex,BA Childhood Studies,https://www.essex.ac.uk/courses/UG01121/1/BA-Childhood-Studies
University of Essex,"BA Childhood Studies  
                                            
                                                (Including Foundation Year)",https://www.essex.ac.uk/courses/UG01121/2/BA-Childhood-Studies
University of Essex,"BA Childhood Studies  
                                            
                                                (Including Foundation Year)",https://www.essex.ac.uk/courses/UG01121/2/BA-Childhood-Studies
University of Essex,BA Computational Linguistics,https://www.essex.ac.uk/courses/UG01385/1/Computational-Linguistics
