School Name,Department Name,URL
University of Exeter,MSc Psychology (Conversion) (Online) | Online study,https://www.exeter.ac.uk/study/online/courses/mscpsych/
University of Exeter,MSc/PGCert/PGDip Medical Mycology (Online) | Online…,https://www.exeter.ac.uk/study/online/courses/mycologyonline/
University of Exeter,Master of Public Health (MPH) | Postgraduate Taught,https://www.exeter.ac.uk/study/postgraduate/courses/medicine/mph/
University of Exeter,MSc International Business (Online) | Online study,https://www.exeter.ac.uk/study/online/courses/mscintbus/
University of Exeter,Fieldwork | Undergraduate Study,https://www.exeter.ac.uk/study/undergraduate/courses/ecology/fieldwork/
University of Exeter,Civil Engineering | Degree Partnerships,https://www.exeter.ac.uk/study/degreeapprenticeships/programmes/civilengineering/
University of Exeter,Theoretical Physics MPhys | Undergraduate Study,https://www.exeter.ac.uk/study/undergraduate/courses/physics/theoreticalmphys/
University of Exeter,Immunology MSc | Postgraduate Taught,https://www.exeter.ac.uk/study/postgraduate/courses/biosciences/immunologymsc/
University of Exeter,Advanced Clinical Practitioner Apprenticeship |…,https://www.exeter.ac.uk/study/degreeapprenticeships/programmes/advancedclinicalpractitioner/
University of Exeter,English and Media & Communications BA |…,https://www.exeter.ac.uk/study/undergraduate/courses/english/english-comms/
University of Exeter,Public Policy MSc | Postgraduate Taught,https://www.exeter.ac.uk/study/postgraduate/courses/politics/public-policy/
University of Exeter,Finance: Investment Banking / Business Management /…,https://www.exeter.ac.uk/study/undergraduate/courses/accounting/finance/
University of Exeter,Study BSc Marketing and Management,https://www.exeter.ac.uk/study/undergraduate/courses/business/marketing/
University of Exeter,Classical Studies BA | Undergraduate Study,https://www.exeter.ac.uk/study/undergraduate/courses/classics/classical/
University of Exeter,Economics and Politics BSc | Undergraduate Study,https://www.exeter.ac.uk/study/undergraduate/courses/economics/politics/
University of Exeter,Film & Television Studies BA | Undergraduate…,https://www.exeter.ac.uk/study/undergraduate/courses/film/film/
University of Exeter,Philosophy and Modern Languages BA | Undergraduate…,https://www.exeter.ac.uk/study/undergraduate/courses/philosophy/modlang/
University of Exeter,Philosophy and History BA | Undergraduate Study,https://www.exeter.ac.uk/study/undergraduate/courses/philosophy/history/
University of Exeter,Politics and Sociology BA | Undergraduate Study,https://www.exeter.ac.uk/study/undergraduate/courses/politics/sociology/
University of Exeter,"MSc Psychedelics: Mind, Medicine, and Culture…",https://www.exeter.ac.uk/study/online/courses/msc-psychedelics/
University of Exeter,Finance MSc | Postgraduate Taught,https://www.exeter.ac.uk/study/postgraduate/courses/finance/fafm/
University of Exeter,"PGCert Psychedelics: Mind, Medicine, and Culture…",https://www.exeter.ac.uk/study/online/courses/pgcert-psychedelics/
University of Exeter,Bachelor of Business and Laws BBL (Cornwall) |…,https://www.exeter.ac.uk/study/undergraduate/courses/law/bbllaw/
University of Exeter,MA Education (Online) | Online study,https://www.exeter.ac.uk/study/online/courses/maeducation/
University of Exeter,Mining Engineering BEng (Full-time) | Undergraduate…,https://www.exeter.ac.uk/study/undergraduate/courses/mining/mining/
