School Name,Department Name,URL
University of Washington,Architecture (M. of Architecture),http://arch.be.washington.edu/
University of Washington,Architecture (M. of Architecture) - Visiting Grad,https://arch.be.uw.edu/
University of Washington,Architecture (M. of Architecture – Adv Standing),https://arch.be.uw.edu/
University of Washington,Architecture - MS in Architecture (History & Theory),http://arch.be.washington.edu/
University of Washington,Architecture - MS in Architecture (Design Technology),http://arch.be.washington.edu/
University of Washington,Built Environment (PhD),http://www.be.washington.edu/phd
University of Washington,Built Environment (PhD) - GNM,http://www.be.washington.edu/phd
University of Washington,Built Environment - History & Humanities (PhD),https://be.uw.edu/academics/phd/
University of Washington,Built Environment (PhD) - Visiting Grad,https://be.uw.edu/academics/phd/
University of Washington,"Built Environment - BLD, CON & PRP SCI (PhD)",https://be.uw.edu/academics/phd/
University of Washington,Built Environment - Landscape & Urban Study (PhD),https://be.uw.edu/academics/phd/
University of Washington,Construction Management - MS in Construction Management - GNM,https://cm.be.uw.edu/students/grad-prof-programs/
University of Washington,Construction Management - MS in Construction Management,https://cm.be.uw.edu/students/grad-prof-programs/
University of Washington,Construction Management - MS in Construction Management (online) - GNM,https://www.constructionmgmt.uw.edu/
University of Washington,Construction Management - MS in Construction Management (online),https://www.constructionmgmt.uw.edu/
University of Washington,Real Estate (MS in Real Estate - UW/Regensburg),https://re.be.uw.edu/programs/msre/
University of Washington,Graduate Certificate in Housing Studies,https://re.be.uw.edu/programs/graduate-certificates/graduate-gchs-certificate/
University of Washington,Graduate Certificate in Historic Preservation,http://www.be.washington.edu/phd
University of Washington,Master of Infrastructure Planning and Management (MIPM) - GNM,http://www.infrastructure-management.uw.edu
University of Washington,Master of Infrastructure Planning and Management (MIPM),http://www.infrastructure-management.uw.edu
University of Washington,Landscape Architecture (MLA) - GNM,http://larch.be.uw.edu/
University of Washington,Landscape Architecture (MLA),http://larch.be.uw.edu/
University of Washington,Landscape Architecture (MLA) - Visiting Grad,https://larch.be.uw.edu/
University of Washington,Real Estate - GNM,http://realestate.washington.edu/
University of Washington,Real Estate (MS in Real Estate),https://re.be.uw.edu/programs/msre/
University of Washington,Real Estate (MS in Real Estate - ADV STAND),https://re.be.uw.edu/programs/msre/
University of Washington,Real Estate (MS in Real Estate - ADV STAND) Visiting Grad,
University of Washington,Graduate Certificate in Real Estate,https://re.be.uw.edu/programs/graduate-certificates/graduate-re-certificate/
University of Washington,Urban Design and Planning (M of Urban Planning) - GNM,https://urbdp.be.uw.edu/admissions/mup/non-degree-enrollment/
University of Washington,Urban Design and Planning (M of Urban Planning),https://urbdp.be.uw.edu/admissions/mup/
University of Washington,Urban Design and Planning (M of Urban Planning) - Visiting Grad,https://urbdp.be.uw.edu/admissions/mup/
University of Washington,Chemistry - Applied Chemical Science and Technology (MS) - GNM,https://www.appliedchem.uw.edu/
University of Washington,Chemistry - Applied Chemical Science and Technology (MS),https://www.appliedchem.uw.edu/
University of Washington,Applied Mathematics (MS),https://amath.washington.edu/master-science-applied-mathematics
University of Washington,Applied Mathematics (PhD),https://amath.washington.edu/
University of Washington,Applied Math: Applied & Computational online - GNM,https://amath.washington.edu/graduate-admissions#gnm
University of Washington,Applied Math: Applied & Computational (MS) online,https://amath.washington.edu/master-science-applied-and-computational-mathematics-online
University of Washington,Applied Math: Applied & Computational (MS),https://amath.washington.edu/master-science-applied-and-computational-mathematics
University of Washington,Anthropology (PhD) Archaeology,https://anthropology.washington.edu/graduate-programs
